"row_id","sobject_id","cluster_name"
"1","131118001101003","NGC288"
"2","131118001101013","NGC288"
"3","131118001101019","NGC288"
"4","131118001101020","NGC288"
"5","131118001101089","NGC288"
"6","131118001101091","NGC288"
"7","131118001101093","NGC288"
"8","131118001101102","NGC288"
"9","131118001101103","NGC288"
"10","131118001101110","NGC288"
"11","131118001101141","NGC288"
"12","131118001101152","NGC288"
"13","131118001101156","NGC288"
"14","131118001101180","NGC288"
"15","131118001101196","NGC288"
"16","131118001101210","NGC288"
"17","131118001101225","NGC288"
"18","131118001101233","NGC288"
"19","131118001101271","NGC288"
"20","131118001101295","NGC288"
"21","131118001101296","NGC288"
"22","131118001101318","NGC288"
"23","131118001101334","NGC288"
"24","131118001101339","NGC288"
"25","131118001101345","NGC288"
"26","131118001101371","NGC288"
"27","131118001101397","NGC288"
"28","131118001901087","NGC362"
"29","131118001901109","NGC362"
"30","131118001901122","NGC362"
"31","131118001901178","NGC362"
"32","131118001901183","NGC362"
"33","131118001901187","NGC362"
"34","131118001901217","NGC362"
"35","131118001901243","NGC362"
"36","131118001901255","NGC362"
"37","131118001901259","NGC362"
"38","131118001901266","NGC362"
"39","131118001901278","NGC362"
"40","131118001901295","NGC362"
"41","131118001901332","NGC362"
"42","131118001901374","NGC362"
"43","131120001101013","NGC288"
"44","131120001101102","NGC288"
"45","131120001101110","NGC288"
"46","131120001101135","NGC288"
"47","131120001101152","NGC288"
"48","131120001101156","NGC288"
"49","131120001101210","NGC288"
"50","131120001101225","NGC288"
"51","131120001101295","NGC288"
"52","131120001401003","47 Tuc"
"53","131120001401008","47 Tuc"
"54","131120001401012","47 Tuc"
"55","131120001401015","47 Tuc"
"56","131120001401017","47 Tuc"
"57","131120001401018","47 Tuc"
"58","131120001401019","47 Tuc"
"59","131120001401022","47 Tuc"
"60","131120001401026","47 Tuc"
"61","131120001401028","47 Tuc"
"62","131120001401032","47 Tuc"
"63","131120001401033","47 Tuc"
"64","131120001401035","47 Tuc"
"65","131120001401037","47 Tuc"
"66","131120001401040","47 Tuc"
"67","131120001401043","47 Tuc"
"68","131120001401049","47 Tuc"
"69","131120001401054","47 Tuc"
"70","131120001401056","47 Tuc"
"71","131120001401070","47 Tuc"
"72","131120001401086","47 Tuc"
